CHA,1567
HAP,1258
APT,662
PTE,568
TER,6093
ER ,12727
R I,1091
WEL,881
ELL,2222
"LL,",772
"L, ",1314
", P",1089
 PR,4972
PRI,3560
RIN,4797
INC,3735
NCE,6351
"CE,",855
"E, ",5685
", S",3375
 SO,6125
SO ,1765
O G,666
 GE,1525
GEN,1105
ENO,215
NOA,3
OA ,3
A A,348
 AN,26069
AND,27007
ND ,23228
D L,1255
 LU,101
LUC,97
UCC,128
CCA,74
CA ,4
 AR,3129
ARE,2681
RE ,9462
E N,1952
 NO,8145
NOW,2743
OW ,3646
W J,14
 JU,789
JUS,671
UST,1776
ST ,4068
T F,1491
 FA,2902
FAM,269
AMI,470
MIL,1458
ILY,730
LY ,7241
Y E,422
 ES,407
EST,2644
STA,2354
TAT,797
ATE,2832
TES,948
ES ,4732
S O,4260
 OF,15619
OF ,13691
F T,5639
 TH,53551
THE,47138
BUO,34
UON,32
ONA,598
NAP,788
APA,308
PAR,1463
ART,1924
RTE,631
ES.,827
S. ,1853
. B,1003
 BU,4128
BUT,4153
UT ,6707
T I,3846
 I ,3239
I W,548
 WA,9277
WAR,1290
ARN,213
RN ,389
N Y,225
 YO,4789
YOU,5346
"OU,",289
"U, ",295
", I",1885
 IF,1117
IF ,1212
F Y,282
OU ,2833
U D,151
 DO,3940
DON,1005
ON',866
N'T,1155
'T ,1037
T T,8449
 TE,1387
TEL,958
LL ,6219
L M,445
 ME,3551
ME ,4491
E T,8808
THA,8870
HAT,10828
AT ,14478
THI,5415
HIS,10693
IS ,12075
S M,1914
MEA,470
EAN,601
ANS,1128
NS ,1737
S W,3577
"AR,",268
U S,292
 ST,4480
STI,2047
TIL,1118
ILL,3301
L T,1809
 TR,1798
TRY,523
RY ,3147
Y T,3380
 TO,18361
TO ,16394
O D,938
 DE,3539
DEF,252
EFE,195
FEN,180
END,1672
D T,12119
HE ,43315
E I,3741
 IN,11902
INF,421
NFA,143
MIE,74
IES,931
S A,6503
D H,6367
 HO,3297
HOR,967
ORR,484
RRO,458
ROR,804
ORS,1031
RS ,2356
S P,1391
 PE,2190
PER,2572
ERP,78
RPE,55
PET,707
ETR,281
TRA,1609
RAT,1181
TED,3897
ED ,21839
D B,3817
 BY,2263
BY ,2235
ANT,2573
NTI,1346
TIC,1105
ICH,3165
CHR,66
HRI,126
RIS,1141
IST,2168
ST-,48
T--,180
--I,173
-I ,54
I R,81
 RE,6763
REA,3191
EAL,808
ALL,5868
LLY,1347
Y B,1011
 BE,9242
BEL,415
ELI,978
LIE,904
IEV,366
EVE,3807
VE ,4358
E H,6657
 HE,16861
 IS,3248
 WI,8255
WIL,1175
L H,648
 HA,10786
HAV,2575
AVE,3028
NOT,6415
OTH,2973
HIN,4543
ING,20928
NG ,17385
G M,492
 MO,4397
MOR,1721
ORE,2567
DO ,847
O W,1193
WIT,6574
ITH,6770
TH ,6240
H Y,178
U A,419
D Y,451
NO ,1092
O L,792
 LO,3661
LON,1471
ONG,1635
NGE,1405
GER,982
R M,961
 MY,1331
MY ,1697
Y F,1054
 FR,4843
FRI,531
RIE,1950
IEN,978
"ND,",963
"D, ",3869
", N",909
Y ',12
 'F,9
'FA,1
FAI,370
AIT,530
THF,42
HFU,66
FUL,1234
SLA,130
LAV,103
"VE,",184
"E,'",7
",' ",70
' A,72
 AS,5152
AS ,11471
S Y,249
U C,134
 CA,4127
CAL,1064
L Y,186
OUR,2647
URS,734
RSE,1572
SEL,2569
ELF,1975
LF!,27
F! ,43
! B,72
T H,4762
HOW,1492
W D,209
O Y,498
DO?,29
O? ,84
? I,208
I S,502
 SE,4440
SEE,2102
EE ,1058
I H,530
E F,4618
RIG,862
IGH,3046
GHT,4129
HTE,555
TEN,2006
ENE,2241
NED,2640
OU-,17
U--,15
--S,103
-SI,24
SIT,1184
IT ,4418
T D,1441
DOW,1003
OWN,2084
WN ,1466
N A,4575
E A,9228
 AL,4736
 NE,2106
NEW,948
EWS,221
WS.,56
T W,3836
WAS,7421
S I,3020
IN ,9746
N J,68
JUL,86
ULY,50
"LY,",873
"Y, ",2873
", 1",21
 18,139
180,66
805,23
"05,",11
"5, ",13
", A",8653
E S,7707
 SP,1706
SPE,1460
PEA,1325
EAK,632
AKE,1336
KER,198
R W,1504
S T,5023
E W,7331
 WE,5105
LL-,122
L-K,17
-KN,22
KNO,1390
ANN,803
NNA,401
NA ,608
A P,852
 PA,2590
PAV,193
AVL,196
VLO,185
LOV,1122
OVN,407
VNA,510
SCH,136
CHE,1384
HER,12057
ERE,8069
RER,148
"ER,",1965
"R, ",2627
